Time         X         Y        Az
   8.257-117.211 -91.913  86.539
   8.271-116.965 -90.636  79.090
   8.287-116.556 -89.403  71.642
   8.304-115.990 -88.232  64.194
   8.321-115.277 -87.145  56.745
   8.333-114.429 -86.160  49.297
   8.348-113.461 -85.292  41.848
   8.364-112.388 -84.558  34.400
   8.380-111.229 -83.969  26.951
   8.396-110.004 -83.535  19.503
   8.410-108.733 -83.263  12.054
   8.426-107.437 -83.159   4.606
   8.441-106.138 -83.223 357.157
   8.456-104.859 -83.455 349.709
   8.471-103.621 -83.852 342.261
   8.486-102.445 -84.405 334.812
   8.500-101.350 -85.106 327.364
   8.516-100.355 -85.943 319.915
   8.531 -99.478 -86.902 312.467
   8.547 -98.732 -87.967 305.018
   8.572 -98.130 -89.119 297.570
   8.610 -97.683 -90.340 290.121
   8.625 -97.398 -91.608 282.673
   8.641 -97.279 -92.903 275.225
   8.657 -97.330 -94.202 267.776
   8.675 -97.548 -95.483 260.328
   8.686 -97.931 -96.726 252.879
   8.702 -98.471 -97.908 245.431
   8.716 -99.161 -99.010 237.982
   8.732 -99.987-100.014 230.534
   8.747-100.936-100.902 223.085
   8.762-101.993-101.659 215.637
   8.777-103.139-102.273 208.188
   8.793-104.354-102.734 200.740
   8.809-105.620-103.032 193.292
   8.824-106.913-103.165 185.843
   8.840-108.212-103.128 178.395
   8.857-109.496-102.924 170.946
   8.872-110.743-102.555 163.498
   8.887-111.931-102.027 156.049
   8.903-113.040-101.349 148.601
   8.918-114.053-100.534 141.152
   8.938-114.951 -99.594 133.704
   8.951-115.720 -98.546 126.255
   8.964-116.346 -97.407 118.807
   8.979-116.820 -96.196 111.359
   8.996-117.132 -94.934 103.910
   9.010-117.278 -93.643  96.462
   9.025-117.256 -92.343  89.013
   9.042-117.065 -91.057  81.565
   9.056-116.710 -89.806  74.116
   9.071-116.195 -88.613  66.668
   9.086-115.529 -87.496  59.219
   9.118-114.725 -86.475  51.771
   9.134-113.795 -85.566  44.323
   9.149-112.755 -84.786  36.874
   9.164-111.623 -84.148  29.426
   9.183-110.417 -83.661  21.977
   9.195-109.159 -83.335  14.529
   9.210-107.869 -83.175   7.080
   9.226-106.569 -83.183 359.632
   9.240-105.281 -83.360 352.183
   9.256-104.027 -83.702 344.735
   9.273-102.827 -84.204 337.286
   9.288-101.703 -84.857 329.838
   9.302-100.674 -85.651 322.390
   9.317 -99.755 -86.571 314.941
   9.334 -98.964 -87.602 307.493
   9.348 -98.313 -88.728 300.044
   9.363 -97.814 -89.928 292.596
   9.380 -97.474 -91.183 285.147
   9.395 -97.300 -92.471 277.699
   9.410 -97.294 -93.771 270.250
   9.426 -97.457 -95.061 262.802
   9.441 -97.786 -96.318 255.353
   9.456 -98.275 -97.523 247.905
   9.471 -98.916 -98.654 240.457
   9.487 -99.698 -99.692 233.008
   9.504-100.608-100.620 225.560
   9.519-101.631-101.423 218.111
   9.534-102.749-102.086 210.663
   9.556-103.944-102.598 203.214
   9.570-105.195-102.951 195.766
   9.581-106.481-103.139 188.317
   9.595-107.781-103.159 180.869
   9.610-109.073-103.010 173.421
   9.625-110.334-102.695 165.972
   9.642-111.544-102.219 158.524
   9.655-112.682-101.590 151.075
   9.670-113.728-100.819 143.627
   9.685-114.666 -99.919 136.178
   9.700-115.480 -98.905 128.730
   9.721-116.155 -97.794 121.281
   9.733-116.680 -96.605 113.833
   9.748-117.047 -95.358 106.384
   9.764-117.249 -94.074  98.936
   9.780-117.282 -92.774  91.488
   9.799-117.147 -91.481  84.039
   9.812-116.846 -90.217  76.591
   9.827-116.383 -89.002  69.142
   9.842-115.766 -87.857  61.694
   9.858-115.007 -86.802  54.245
   9.874-114.117 -85.855  46.797
   9.889-113.112 -85.030  39.348
   9.904-112.008 -84.343  31.900
   9.920-110.825 -83.805  24.452
   9.935-109.581 -83.425  17.003
   9.951-108.299 -83.209   9.555
   9.967-107.000 -83.162   2.106
   9.983-105.706 -83.283 354.658
   9.998-104.438 -83.570 347.209
  10.013-103.218 -84.020 339.761
  10.028-102.067 -84.624 332.312
  10.043-101.004 -85.372 324.864
  10.059-100.047 -86.252 317.415
  10.076 -99.212 -87.248 309.967
  10.089 -98.513 -88.345 302.519
  10.105 -97.962 -89.522 295.070
  10.120 -97.569 -90.761 287.622
  10.136 -97.339 -92.041 280.173
  10.153 -97.277 -93.339 272.725
  10.168 -97.384 -94.635 265.276
  10.190 -97.658 -95.905 257.828
  10.216 -98.095 -97.130 250.379
  10.230 -98.687 -98.288 242.931
  10.247 -99.423 -99.359 235.482
  10.262-100.293-100.325 228.034
  10.279-101.280-101.171 220.586
  10.293-102.368-101.882 213.137
  10.308-103.540-102.445 205.689
  10.324-104.775-102.852 198.240
  10.340-106.052-103.096 190.792
  10.356-107.349-103.171 183.343
  10.372-108.646-103.078 175.895
  10.387-109.920-102.818 168.446
  10.402-111.149-102.395 160.998
  10.417-112.313-101.816 153.550
  10.434-113.392-101.091 146.101
  10.448-114.368-100.232 138.653
  10.464-115.224 -99.254 131.204
  10.479-115.946 -98.173 123.756
  10.494-116.523 -97.008 116.307
  10.510-116.943 -95.777 108.859
  10.525-117.200 -94.503 101.410
  10.540-117.290 -93.206  93.962
  10.556-117.211 -91.908  86.513
  10.571-116.964 -90.632  79.065
  10.586-116.554 -89.398  71.617
  10.602-115.988 -88.228  64.168
  10.620-115.274 -87.142  56.720
  10.632-114.426 -86.156  49.271
  10.649-113.457 -85.290  41.823
  10.664-112.384 -84.556  34.374
  10.681-111.225 -83.967  26.926
  10.695-110.000 -83.533  19.477
  10.712-108.728 -83.262  12.029
  10.725-107.432 -83.159   4.580
  10.740-106.134 -83.224 357.132
  10.756-104.855 -83.457 349.684
  10.772-103.617 -83.853 342.235
  10.788-102.441 -84.407 334.787
  10.809-101.346 -85.109 327.338
  10.834-100.352 -85.946 319.890
  10.849 -99.475 -86.905 312.441
  10.864 -98.729 -87.970 304.993
  10.881 -98.128 -89.123 297.544
  10.896 -97.682 -90.344 290.096
  10.910 -97.397 -91.612 282.648
  10.927 -97.279 -92.907 275.199
  10.943 -97.330 -94.206 267.751
  10.959 -97.549 -95.487 260.302
  10.975 -97.932 -96.730 252.854
  10.989 -98.473 -97.912 245.405
  11.005 -99.163 -99.014 237.957
  11.021 -99.990-100.017 230.508
  11.037-100.940-100.904 223.060
  11.053-101.997-101.661 215.611
  11.069-103.143-102.275 208.163
  11.085-104.359-102.735 200.715
  11.100-105.624-103.033 193.266
  11.115-106.917-103.165 185.818
  11.130-108.217-103.128 178.369
  11.145-109.500-102.923 170.921
  11.161-110.747-102.553 163.472
  11.177-111.935-102.025 156.024
  11.192-113.044-101.347 148.575
  11.208-114.056-100.531 141.127
  11.223-114.954 -99.591 133.678
  11.239-115.722 -98.542 126.230
  11.256-116.348 -97.403 118.782
  11.271-116.821 -96.192 111.333
  11.285-117.133 -94.930 103.885
  11.301-117.279 -93.638  96.436
  11.316-117.256 -92.338  88.988
  11.331-117.064 -91.052  81.539
  11.347-116.708 -89.802  74.091
  11.361-116.193 -88.609  66.642
  11.376-115.527 -87.492  59.194
  11.391-114.722 -86.471  51.746
  11.408-113.792 -85.563  44.297
  11.422-112.751 -84.784  36.849
  11.438-111.619 -84.146  29.400
  11.453-110.413 -83.660  21.952
  11.469-109.154 -83.334  14.503
  11.484-107.864 -83.174   7.055
  11.501-106.564 -83.183 359.606
  11.516-105.276 -83.361 352.158
  11.532-104.022 -83.704 344.709
  11.548-102.823 -84.206 337.261
  11.564-101.700 -84.860 329.813
  11.580-100.670 -85.654 322.364
  11.596 -99.752 -86.574 314.916
  11.612 -98.962 -87.606 307.467
  11.628 -98.311 -88.732 300.019
  11.642 -97.812 -89.932 292.570
  11.658 -97.473 -91.187 285.122
  11.674 -97.300 -92.475 277.673
  11.691 -97.294 -93.775 270.225
  11.706 -97.458 -95.065 262.777
  11.722 -97.787 -96.323 255.328
  11.739 -98.277 -97.527 247.880
  11.753 -98.918 -98.658 240.431
